dataset,script,model,accuracy,coverage,macro_f1,macro_precision,macro_recall,weighted_f1,weighted_precision,weighted_recall,micro_f1,micro_precision,micro_recall,supported_acc,refuted_acc,nei_acc,Supported_f1,Supported_precision,Supported_recall,Refuted_f1,Refuted_precision,Refuted_recall,Not Enough Information_f1,Not Enough Information_precision,Not Enough Information_recall
FACTors,main3,gemma2,0.5866666666666667,1.0,0.5372432188506897,0.6104037267080745,0.5866666666666666,0.5372432188506896,0.6104037267080745,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.83,0.78,0.15,0.772093023255814,0.7217391304347827,0.83,0.5977011494252874,0.484472049689441,0.78,0.24193548387096772,0.625,0.15
FACTors,main3,llama3.1,0.53,1.0,0.4322222222222223,0.3833333333333333,0.5299999999999999,0.4322222222222223,0.38333333333333336,0.53,0.53,0.53,0.53,0.71,0.88,0.0,0.7100000000000001,0.71,0.71,0.5866666666666667,0.44,0.88,0.0,0.0,0.0
FACTors,main3,phi4:14b,0.5333333333333333,1.0,0.4739483317163269,0.49949787877770263,0.5333333333333333,0.47394833171632683,0.4994978787777025,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.73,0.79,0.08,0.7087378640776699,0.6886792452830188,0.73,0.5830258302583026,0.4619883040935672,0.79,0.13008130081300814,0.34782608695652173,0.08
FACTors,main4,gemma2,0.44666666666666666,1.0,0.42697688610313284,0.43601834573502957,0.4466666666666667,0.4269768861031327,0.4360183457350295,0.44666666666666666,0.44666666666666666,0.44666666666666666,0.44666666666666666,0.6,0.56,0.18,0.5797101449275363,0.5607476635514018,0.6,0.4628099173553719,0.39436619718309857,0.56,0.2384105960264901,0.35294117647058826,0.18
FACTors,main4,llama3.1,0.46,1.0,0.3766903908735839,0.6572649572649573,0.46,0.3766903908735839,0.6572649572649573,0.46,0.46,0.46,0.46,0.6,0.77,0.01,0.5882352941176471,0.5769230769230769,0.6,0.5220338983050848,0.39487179487179486,0.77,0.019801980198019802,1.0,0.01
FACTors,main4,phi4:14b,0.43333333333333335,1.0,0.4009724060154305,0.4276016785815584,0.4333333333333333,0.40097240601543044,0.42760167858155834,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.46,0.7,0.14,0.4867724867724868,0.5168539325842697,0.46,0.5147058823529412,0.4069767441860465,0.7,0.20143884892086333,0.358974358974359,0.14
FACTors,main5_1round,gemma2,0.5733333333333334,1.0,0.5190693084052492,0.5974079142833749,0.5733333333333333,0.5190693084052493,0.5974079142833748,0.5733333333333334,0.5733333333333334,0.5733333333333334,0.5733333333333334,0.82,0.77,0.13,0.7522935779816514,0.6949152542372882,0.82,0.5900383141762453,0.4782608695652174,0.77,0.21487603305785125,0.6190476190476191,0.13
FACTors,main5_1round,llama3.1,0.5566666666666666,1.0,0.45787619302470794,0.4062625050020008,0.5566666666666666,0.45787619302470794,0.4062625050020008,0.5566666666666666,0.5566666666666666,0.5566666666666666,0.5566666666666666,0.78,0.89,0.0,0.7722772277227723,0.7647058823529411,0.78,0.6013513513513514,0.45408163265306123,0.89,0.0,0.0,0.0
FACTors,main5_1round,phi4:14b,0.54,1.0,0.4830515118968333,0.5344877344877345,0.54,0.4830515118968334,0.5344877344877345,0.54,0.54,0.54,0.54,0.76,0.76,0.1,0.7102803738317756,0.6666666666666666,0.76,0.5735849056603773,0.46060606060606063,0.76,0.1652892561983471,0.47619047619047616,0.1
FACTors,main5_3rounds,gemma2,0.5566666666666666,1.0,0.49624585861193576,0.5353302611367128,0.5566666666666666,0.4962458586119359,0.5353302611367127,0.5566666666666666,0.5566666666666666,0.5566666666666666,0.5566666666666666,0.84,0.73,0.1,0.75,0.6774193548387096,0.84,0.5748031496062992,0.474025974025974,0.73,0.16393442622950818,0.45454545454545453,0.1
FACTors,main5_3rounds,llama3.1,0.5566666666666666,1.0,0.4720390720390721,0.6096491228070176,0.5566666666666668,0.47203907203907214,0.6096491228070176,0.5566666666666666,0.5566666666666666,0.5566666666666666,0.5566666666666666,0.74,0.9,0.03,0.7589743589743589,0.7789473684210526,0.74,0.6,0.45,0.9,0.05714285714285714,0.6,0.03
FACTors,main5_3rounds,phi4:14b,0.51,1.0,0.4497723317496393,0.478839490377952,0.51,0.4497723317496393,0.478839490377952,0.51,0.51,0.51,0.51,0.72,0.74,0.07,0.6824644549763034,0.6486486486486487,0.72,0.550185873605948,0.4378698224852071,0.74,0.11666666666666668,0.35,0.07
FACTors,main5_5rounds,gemma2,0.5733333333333334,1.0,0.5213833058222017,0.5833067644401934,0.5733333333333334,0.5213833058222017,0.5833067644401934,0.5733333333333334,0.5733333333333334,0.5733333333333334,0.5733333333333334,0.84,0.74,0.14,0.7533632286995516,0.6829268292682927,0.84,0.5849802371541502,0.48366013071895425,0.74,0.22580645161290325,0.5833333333333334,0.14
FACTors,main5_5rounds,llama3.1,0.5266666666666666,1.0,0.4375623902478123,0.5377622838682029,0.5266666666666667,0.43756239024781224,0.5377622838682028,0.5266666666666666,0.5266666666666666,0.5266666666666666,0.5266666666666666,0.71,0.85,0.02,0.6859903381642511,0.6635514018691588,0.71,0.5882352941176471,0.4497354497354497,0.85,0.038461538461538464,0.5,0.02
FACTors,main5_5rounds,phi4:14b,0.52,1.0,0.46100048425158263,0.4950673258365566,0.52,0.46100048425158263,0.4950673258365566,0.52,0.52,0.52,0.52,0.72,0.76,0.08,0.6857142857142857,0.6545454545454545,0.72,0.5650557620817844,0.44970414201183434,0.76,0.1322314049586777,0.38095238095238093,0.08
FinFact,main3,gemma2,0.48,1.0,0.42758505776906636,0.44055973266499576,0.48000000000000004,0.42758505776906636,0.4405597326649958,0.48,0.48,0.48,0.48,0.64,0.71,0.09,0.5493562231759656,0.48120300751879697,0.64,0.5916666666666667,0.5071428571428571,0.71,0.14173228346456693,0.3333333333333333,0.09
FinFact,main3,llama3.1,0.48333333333333334,1.0,0.38760942760942757,0.3272380952380953,0.4833333333333334,0.3876094276094276,0.3272380952380953,0.48333333333333334,0.48333333333333334,0.48333333333333334,0.48333333333333334,0.67,0.78,0.0,0.5955555555555556,0.536,0.67,0.5672727272727273,0.44571428571428573,0.78,0.0,0.0,0.0
FinFact,main3,phi4:14b,0.43333333333333335,1.0,0.3819480426482591,0.39060545107765215,0.43333333333333335,0.38194804264825905,0.39060545107765215,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.46,0.76,0.08,0.4577114427860697,0.45544554455445546,0.46,0.5650557620817844,0.44970414201183434,0.76,0.12307692307692307,0.26666666666666666,0.08
FinFact,main4,gemma2,0.37666666666666665,1.0,0.35505442898262163,0.36507798149727017,0.37666666666666665,0.35505442898262163,0.3650779814972701,0.37666666666666665,0.37666666666666665,0.37666666666666665,0.37666666666666665,0.42,0.56,0.15,0.40579710144927533,0.3925233644859813,0.42,0.45528455284552843,0.3835616438356164,0.56,0.2040816326530612,0.3191489361702128,0.15
FinFact,main4,llama3.1,0.36,1.0,0.2881054871901554,0.24018496287403854,0.36000000000000004,0.28810548719015544,0.24018496287403848,0.36,0.36,0.36,0.36,0.55,0.53,0.0,0.4453441295546559,0.3741496598639456,0.55,0.4189723320158103,0.3464052287581699,0.53,0.0,0.0,0.0
FinFact,main4,phi4:14b,0.4,1.0,0.35812933869199853,0.37671957671957673,0.4000000000000001,0.35812933869199853,0.37671957671957673,0.4,0.4000000000000001,0.4,0.4,0.38,0.72,0.1,0.41304347826086957,0.4523809523809524,0.38,0.5142857142857142,0.4,0.72,0.14705882352941177,0.2777777777777778,0.1
FinFact,main5_1round,gemma2,0.4866666666666667,1.0,0.4340458942466103,0.4401243895165998,0.48666666666666675,0.4340458942466103,0.4401243895165999,0.4866666666666667,0.4866666666666667,0.4866666666666667,0.4866666666666667,0.64,0.73,0.09,0.5517241379310344,0.48484848484848486,0.64,0.6108786610878661,0.5251798561151079,0.73,0.13953488372093023,0.3103448275862069,0.09
FinFact,main5_1round,llama3.1,0.48333333333333334,1.0,0.3935514057150727,0.4104078336361801,0.48333333333333334,0.39355140571507274,0.41040783363618005,0.48333333333333334,0.48333333333333334,0.48333333333333334,0.48333333333333334,0.66,0.78,0.01,0.581497797356828,0.5196850393700787,0.66,0.5799256505576209,0.46153846153846156,0.78,0.019230769230769232,0.25,0.01
FinFact,main5_1round,phi4:14b,0.43666666666666665,1.0,0.390522545608541,0.3905175802865572,0.4366666666666667,0.39052254560854094,0.3905175802865572,0.43666666666666665,0.43666666666666665,0.43666666666666665,0.43666666666666665,0.47,0.75,0.09,0.4676616915422886,0.46534653465346537,0.47,0.5725190839694656,0.46296296296296297,0.75,0.13138686131386862,0.24324324324324326,0.09
FinFact,main5_3rounds,gemma2,0.53,1.0,0.4779154377264711,0.49945131089665207,0.5299999999999999,0.47791543772647105,0.4994513108966521,0.53,0.53,0.53,0.53,0.7,0.77,0.12,0.608695652173913,0.5384615384615384,0.7,0.6390041493775933,0.5460992907801419,0.77,0.18604651162790695,0.41379310344827586,0.12
FinFact,main5_3rounds,llama3.1,0.5,1.0,0.4144847164455008,0.4272609819121447,0.5,0.41448471644550083,0.4272609819121447,0.5,0.5,0.5,0.5,0.68,0.8,0.02,0.6181818181818183,0.5666666666666667,0.68,0.5882352941176471,0.46511627906976744,0.8,0.037037037037037035,0.25,0.02
FinFact,main5_3rounds,phi4:14b,0.43666666666666665,1.0,0.38861525471432595,0.39101303171871155,0.4366666666666667,0.38861525471432595,0.39101303171871155,0.43666666666666665,0.43666666666666665,0.43666666666666665,0.43666666666666665,0.45,0.77,0.09,0.45454545454545453,0.45918367346938777,0.45,0.5789473684210527,0.463855421686747,0.77,0.1323529411764706,0.25,0.09
FinFact,main5_5rounds,gemma2,0.4866666666666667,1.0,0.437402671712295,0.44750154075213106,0.48666666666666664,0.43740267171229513,0.44750154075213106,0.4866666666666667,0.4866666666666667,0.4866666666666667,0.4866666666666667,0.66,0.7,0.1,0.5523012552301255,0.4748201438848921,0.66,0.606060606060606,0.5343511450381679,0.7,0.15384615384615383,0.3333333333333333,0.1
FinFact,main5_5rounds,llama3.1,0.48,1.0,0.39794447226026447,0.40249787164023204,0.48,0.39794447226026447,0.4024978716402321,0.48,0.48,0.48,0.48,0.65,0.77,0.02,0.5803571428571428,0.5241935483870968,0.65,0.5767790262172285,0.46107784431137727,0.77,0.03669724770642202,0.2222222222222222,0.02
FinFact,main5_5rounds,phi4:14b,0.45,1.0,0.39814509131932985,0.3990022517276186,0.45,0.39814509131932985,0.3990022517276186,0.45,0.45,0.45,0.45,0.5,0.77,0.08,0.4854368932038835,0.4716981132075472,0.5,0.5877862595419848,0.47530864197530864,0.77,0.12121212121212122,0.25,0.08
